# benchreport-meta: env=ci
# benchreport-meta: label=CI — GitHub-hosted runner (ubuntu-latest)
# benchreport-meta: tier=secondary
# benchreport-meta: machine=shared ubuntu-latest runner (noisy)
# benchreport-meta: commit=f874cc8
# benchreport-meta: date=2026-06-23T17:05:54Z
# benchreport-meta: goversion=go1.24.13
# benchreport-meta: benchtime=50ms
# benchreport-meta: count=8
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz
,build/bench.txt,
,sec/op,CI
PushBack/3_elements-4,8.112500000000001e-08,59%
PushBack/10_elements-4,1.8475e-07,1%
PushBack/100_elements-4,1.082e-06,2%
PushBack/1_000_elements-4,8.579500000000001e-06,8%
PushBack/10_000_elements-4,0.00010614850000000001,1%
PushBack/100_000_elements-4,0.0010064995,3%
PushBack/1_000_000_elements-4,0.007900043,3%
PushFront/3_elements-4,7.1315e-08,4%
PushFront/10_elements-4,1.913e-07,1%
PushFront/100_elements-4,1.4180000000000002e-06,1%
PushFront/1_000_elements-4,1.1597000000000001e-05,1%
PushFront/10_000_elements-4,0.00013442500000000003,1%
PushFront/100_000_elements-4,0.0013484815,3%
PushFront/1_000_000_elements-4,0.010851983,3%
PopFront/3_elements-4,2.6130000000000003e-08,0%
PopFront/10_elements-4,8.853000000000001e-08,2%
PopFront/100_elements-4,9.3225e-07,0%
PopFront/1_000_elements-4,9.632000000000002e-06,0%
PopFront/10_000_elements-4,9.416750000000002e-05,0%
PopFront/100_000_elements-4,0.000937144,3%
PopFront/1_000_000_elements-4,0.009417182,1%
PopBack/3_elements-4,1.7535e-08,0%
PopBack/10_elements-4,5.898e-08,0%
PopBack/100_elements-4,6.1065e-07,0%
PopBack/1_000_elements-4,6.064e-06,1%
PopBack/10_000_elements-4,6.2229e-05,2%
PopBack/100_000_elements-4,0.000620409,1%
PopBack/1_000_000_elements-4,0.006325353000000001,1%
BoundedPushBack/3_elements-4,2.2205e-07,4%
BoundedPushBack/10_elements-4,2.3665e-07,5%
BoundedPushBack/100_elements-4,5.1305e-07,1%
BoundedPushBack/1_000_elements-4,7.5940000000000005e-06,3%
BoundedPushBack/10_000_elements-4,7.906349999999999e-05,6%
BoundedPushBack/100_000_elements-4,0.000788547,7%
BoundedPushBack/1_000_000_elements-4,0.007910874500000002,5%
geomean,1.212333817613549e-05,

,build/bench.txt,
,B/op,CI
PushBack/3_elements-4,56,0%
PushBack/10_elements-4,248,0%
PushBack/100_elements-4,2040,0%
PushBack/1_000_elements-4,16376,0%
PushBack/10_000_elements-4,262138,0%
PushBack/100_000_elements-4,2.0971655e+06,0%
PushBack/1_000_000_elements-4,1.6777216e+07,0%
PushFront/3_elements-4,56,0%
PushFront/10_elements-4,248,0%
PushFront/100_elements-4,2040,0%
PushFront/1_000_elements-4,16376,0%
PushFront/10_000_elements-4,262137,0%
PushFront/100_000_elements-4,2.0971615e+06,0%
PushFront/1_000_000_elements-4,1.6777216e+07,0%
PopFront/3_elements-4,0,0%
PopFront/10_elements-4,0,0%
PopFront/100_elements-4,0,0%
PopFront/1_000_elements-4,0,0%
PopFront/10_000_elements-4,0,0%
PopFront/100_000_elements-4,0,0%
PopFront/1_000_000_elements-4,0,0%
PopBack/3_elements-4,0,0%
PopBack/10_elements-4,0,0%
PopBack/100_elements-4,0,0%
PopBack/1_000_elements-4,0,0%
PopBack/10_000_elements-4,0,0%
PopBack/100_000_elements-4,0,0%
PopBack/1_000_000_elements-4,0,0%
BoundedPushBack/3_elements-4,1088,0%
BoundedPushBack/10_elements-4,1088,0%
BoundedPushBack/100_elements-4,1088,0%
BoundedPushBack/1_000_elements-4,1088,0%
BoundedPushBack/10_000_elements-4,1088,0%
BoundedPushBack/100_000_elements-4,1088,0%
BoundedPushBack/1_000_000_elements-4,1088,0%
geomean,,

,build/bench.txt,
,allocs/op,CI
PushBack/3_elements-4,3,0%
PushBack/10_elements-4,5,0%
PushBack/100_elements-4,8,0%
PushBack/1_000_elements-4,11,0%
PushBack/10_000_elements-4,15,0%
PushBack/100_000_elements-4,18,0%
PushBack/1_000_000_elements-4,21,0%
PushFront/3_elements-4,3,0%
PushFront/10_elements-4,5,0%
PushFront/100_elements-4,8,0%
PushFront/1_000_elements-4,11,0%
PushFront/10_000_elements-4,15,0%
PushFront/100_000_elements-4,18,0%
PushFront/1_000_000_elements-4,21,0%
PopFront/3_elements-4,0,0%
PopFront/10_elements-4,0,0%
PopFront/100_elements-4,0,0%
PopFront/1_000_elements-4,0,0%
PopFront/10_000_elements-4,0,0%
PopFront/100_000_elements-4,0,0%
PopFront/1_000_000_elements-4,0,0%
PopBack/3_elements-4,0,0%
PopBack/10_elements-4,0,0%
PopBack/100_elements-4,0,0%
PopBack/1_000_elements-4,0,0%
PopBack/10_000_elements-4,0,0%
PopBack/100_000_elements-4,0,0%
PopBack/1_000_000_elements-4,0,0%
BoundedPushBack/3_elements-4,2,0%
BoundedPushBack/10_elements-4,2,0%
BoundedPushBack/100_elements-4,2,0%
BoundedPushBack/1_000_elements-4,2,0%
BoundedPushBack/10_000_elements-4,2,0%
