PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  746830	        72.85 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  827641	        72.08 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  757802	        97.09 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  716694	        74.82 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  830851	        72.40 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  816439	        70.48 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  694866	        73.23 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  810120	        70.37 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  318027	       190.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  306709	       189.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  303417	       190.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  305442	       187.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318826	       197.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  315337	       189.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  309962	       187.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  312543	       198.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   44544	      1134 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46664	      1130 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47012	      1137 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49273	      1141 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47818	      1118 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   44397	      1171 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47528	      1140 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47052	      1136 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6280	      9097 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6384	      9135 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6474	      9432 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6411	      9535 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6250	      9368 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6596	      9218 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6404	      9566 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6286	      9441 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     511	    107331 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     480	    107897 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     507	    107132 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     494	    105965 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     495	    106048 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     481	    108538 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     523	    111942 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     488	    111182 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      55	   1054345 ns/op	 2097170 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      63	   1116332 ns/op	 2097165 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      72	   1092885 ns/op	 2097173 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      73	   1101377 ns/op	 2097170 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	   1078655 ns/op	 2097166 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      54	   1107410 ns/op	 2097174 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      67	   1078264 ns/op	 2097174 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      66	   1072539 ns/op	 2097166 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7912195 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7851355 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7894746 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7980050 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7925653 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7885798 ns/op	16777243 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7855964 ns/op	16777243 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7884800 ns/op	16777257 B/op	      21 allocs/op
