PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  816877	        71.86 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  725422	        74.59 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  739221	        73.38 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  805272	        75.97 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  756918	        75.46 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  755313	        73.28 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  816108	        73.33 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  731797	        76.17 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  291840	       191.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  309969	       192.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  303201	       193.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  311800	       191.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  297608	       195.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  308893	       190.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  312801	       200.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  309897	       195.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   47520	      1107 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45277	      1148 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47758	      1139 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45913	      1128 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47648	      1128 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46773	      1157 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46234	      1172 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47292	      1114 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6528	      9249 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6622	      9276 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7527	      9202 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6273	      9188 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7678	      9608 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6392	      9465 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6352	      9325 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6272	      9188 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     481	    106954 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     480	    107485 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     489	    109075 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     483	    110894 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     510	    109916 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     558	    107978 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     504	    108355 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     482	    109624 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      51	   1105714 ns/op	 2097179 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      72	   1222556 ns/op	 2097174 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      50	   1071495 ns/op	 2097172 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	   1086388 ns/op	 2097181 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	   1075368 ns/op	 2097176 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      73	   1173942 ns/op	 2097161 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      50	   1098396 ns/op	 2097172 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      73	   1078098 ns/op	 2097175 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7894115 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7943432 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7701065 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7793145 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       6	   8771705 ns/op	16777216 B/op	      21 allocs/op
