PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  836928	        71.22 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  824101	        71.51 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  823568	        71.16 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  765169	        72.35 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  715689	        73.05 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  767952	        71.55 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  819703	        71.48 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  721770	        72.43 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  318513	       188.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314444	       188.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  312171	       187.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  303696	       196.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  321243	       186.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318150	       194.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  298891	       187.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  316647	       190.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   46155	      1129 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48223	      1102 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47562	      1119 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47210	      1141 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50152	      1107 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48013	      1118 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47647	      1124 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47226	      1136 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6513	      9143 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6411	      8911 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6381	      8943 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6553	      8920 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6510	      8940 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6450	      9299 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6710	      8884 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6420	      8885 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     504	    104982 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     501	    104892 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     514	    108754 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     525	    106652 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     500	    107042 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     496	    107469 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     549	    109344 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     536	    108751 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      49	   1058945 ns/op	 2097170 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      64	   1047748 ns/op	 2097171 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      73	   1030280 ns/op	 2097177 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	   1196246 ns/op	 2097164 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      69	   1153505 ns/op	 2097165 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      67	   1211217 ns/op	 2097162 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      52	   1260682 ns/op	 2097157 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      64	   1137303 ns/op	 2097166 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7935019 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7758607 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7603875 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7630559 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7640245 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7583716 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7525220 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7655866 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/3_elements-4        	  780597	        72.58 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  831408	        71.25 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  849705	        70.22 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  823344	        68.87 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  821631	        69.19 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  837228	        71.72 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  724670	        71.44 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  696406	        72.28 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/10_elements-4       	  317426	       190.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  316716	       188.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  314247	       187.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  315565	       187.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  315669	       187.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  313480	       188.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  316918	       183.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  317917	       187.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/100_elements-4      	   47824	      1130 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   49170	      1131 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   48967	      1113 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47671	      1113 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   46995	      1095 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   48651	      1124 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47209	      1129 ns/op	    2040 B/op	       8 allocs/op
