PASS
ok  	github.com/pickeringtech/go-collections/collections	0.003s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  515476	       104.7 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  855708	        73.51 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  763122	        72.62 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  825848	        71.50 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  770744	        72.38 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  823638	        70.18 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  821428	        70.84 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  811785	        70.12 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  318795	       189.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314554	       189.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  317406	       186.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  319104	       192.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314292	       196.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  312736	       185.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318604	       187.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  305558	       189.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   49180	      1126 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46237	      1129 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47680	      1300 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   41482	      1206 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46812	      1114 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49885	      1110 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47854	      1201 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46888	      1123 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6684	      9020 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5366	      9336 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6409	      8962 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6590	      9196 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6429	      9043 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6512	      9139 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6490	      9002 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6489	     10395 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     464	    130829 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     505	    108170 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     508	    112338 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     548	    108538 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     504	    115254 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     501	    107817 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     507	    110999 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     492	    109615 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      55	   1052846 ns/op	 2097160 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      73	   1087894 ns/op	 2097154 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      49	   1119098 ns/op	 2097167 B/op	      18 allocs/op
