PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  792033	        70.32 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  774807	        70.65 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  838482	        70.93 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  823242	        69.70 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  731500	        71.49 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  758000	        71.19 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  832478	        69.79 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  815332	        70.36 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  322551	       183.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  322166	       187.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318886	       187.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  317090	       188.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  299917	       228.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  352696	       194.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  295344	       189.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318069	       187.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   46506	      1099 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49736	      1128 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46707	      1119 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48500	      1099 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49184	      1121 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48800	      1110 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46267	      1147 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47595	      1115 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6470	      8957 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6398	      9128 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7408	      9195 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6596	      9006 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6607	      9217 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6499	      9030 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6514	      9041 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6664	      8826 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     580	    103921 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     510	    104482 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     568	    104306 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     506	    105062 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     502	    104067 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     524	    114409 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     439	    124260 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     459	    121077 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      57	   1133744 ns/op	 2097170 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      55	   1040543 ns/op	 2097167 B/op	      18 allocs/op
