PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  697309	        89.66 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  804370	        70.77 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  718915	        72.41 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  741277	        72.14 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  775939	        77.65 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  757087	        72.39 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  810588	        71.81 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  745012	        72.89 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  301094	       189.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  315787	       188.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  313140	       204.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  301035	       188.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318748	       203.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  282081	       232.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  321094	       191.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  312552	       191.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   47652	      1125 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47313	      1132 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47040	      1144 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45600	      1146 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45192	      1123 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46412	      1123 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46809	      1129 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   52004	      1111 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6172	      9756 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6385	      9168 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6457	      9560 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6555	      9096 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7652	      9099 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6354	      9058 ns/op	   16376 B/op	      11 allocs/op
