PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkPushBack/3_elements-4         	  776242	        72.02 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  823500	        71.69 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  814238	        72.52 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  835772	        71.44 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  782160	        71.83 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  699739	        73.26 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  753654	        71.76 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  769323	        72.86 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  341026	       182.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314865	       180.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  334675	       174.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  335484	       173.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  330189	       180.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  343440	       179.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  340530	       174.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  328339	       177.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   48582	      1137 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46311	      1116 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48826	      1094 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   55280	      1109 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47934	      1075 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50662	      1084 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48649	      1085 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46051	      1100 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5853	     10137 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6106	      9493 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6082	      9423 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6242	      9111 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6331	      9594 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5594	      9461 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6286	      9156 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5883	      9598 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     456	    116801 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     460	    120044 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     458	    117665 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     463	    113014 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     462	    117071 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     464	    114930 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     484	    114577 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     451	    117813 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      49	   1156677 ns/op	 2097163 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      51	   1185972 ns/op	 2097162 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      66	   1212608 ns/op	 2097164 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      46	   1240601 ns/op	 2097156 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      56	   1283064 ns/op	 2097166 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      48	   1167319 ns/op	 2097156 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      55	   1273814 ns/op	 2097163 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      50	   1228714 ns/op	 2097155 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11017642 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11175760 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  10954384 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11068532 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11201448 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       6	  10864189 ns/op	16777232 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11253210 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11418310 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/3_elements-4        	  767640	        72.44 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  824208	        70.05 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  740640	        72.32 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  814063	        70.66 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  822232	        71.13 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  816199	        70.68 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  756988	        72.32 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  830079	        71.58 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/10_elements-4       	  291348	       236.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  303670	       174.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  329449	       181.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  331626	       180.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  326372	       175.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  314964	       178.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  335661	       177.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  331527	       180.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/100_elements-4      	   47809	      1122 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47659	      1101 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47853	      1081 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   48288	      1086 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   48386	      1105 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47883	      1088 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   45765	      1196 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   48484	      1084 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6350	      9102 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6495	      9144 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6440	      9282 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6402	      9304 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    7666	      9076 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6244	      9261 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6506	      8884 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6510	      8898 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/10_000_elements-4   	     498	    107815 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     464	    110389 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     483	    108865 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     492	    106137 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     547	    105845 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     464	    108879 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     524	    110951 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     468	    113933 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/100_000_elements-4  	      57	    981941 ns/op	 2097161 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      69	   1031523 ns/op	 2097161 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      50	   1139325 ns/op	 2097161 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      52	   1173921 ns/op	 2097153 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      72	   1105069 ns/op	 2097158 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      73	   1112549 ns/op	 2097164 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      74	   1119603 ns/op	 2097164 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      48	   1067019 ns/op	 2097163 B/op	      18 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7653288 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7764890 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7782477 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7668721 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7677293 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7809639 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7916285 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7623586 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPopFront/3_elements-4                  	 2074192	        27.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/3_elements-4                  	 2220486	        26.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/3_elements-4                  	 1985852	        27.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/3_elements-4                  	 2357155	        28.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/3_elements-4                  	 1938050	        29.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/3_elements-4                  	 2484693	        27.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/3_elements-4                  	 2349284	        29.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/3_elements-4                  	 2115115	        27.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/10_elements-4                 	  753324	        86.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/10_elements-4                 	  736986	        91.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/10_elements-4                 	  753627	        80.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/10_elements-4                 	  736261	        80.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/10_elements-4                 	  730578	        80.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/10_elements-4                 	  750220	        80.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/10_elements-4                 	  735782	        82.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/10_elements-4                 	  738931	        90.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/100_elements-4                	   57597	       902.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/100_elements-4                	   71575	       863.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/100_elements-4                	   71378	       849.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/100_elements-4                	   70342	       842.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/100_elements-4                	   71504	       843.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/100_elements-4                	   71007	       843.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/100_elements-4                	   68515	       851.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/100_elements-4                	   71376	       847.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/1_000_elements-4              	    4377	     13424 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/1_000_elements-4              	    4550	     13414 ns/op	       0 B/op	       0 allocs/op
BenchmarkPopFront/1_000_elements-4              	    4478	     13377 ns/op	       0 B/op	       0 allocs/op
