PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  649916	        86.26 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  916641	        72.73 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  822346	        70.72 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  822055	        69.94 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  688579	        72.69 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  686361	        74.13 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  775486	        70.77 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  732250	        73.03 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  320042	       188.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  315272	       187.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  316954	       194.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  317257	       191.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  312506	       186.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310222	       187.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  309850	       188.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314743	       189.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   46827	      1127 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48099	      1118 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47978	      1102 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48306	      1116 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50438	      1114 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   44074	      1158 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47608	      1121 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48459	      1129 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6500	      9528 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6254	      9238 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6181	      8983 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6463	      9548 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6442	      9019 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6406	      9390 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6414	      9177 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6243	      9129 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     500	    109385 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     502	    105665 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     507	    107216 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     510	    107781 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     516	    106712 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     566	    107217 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     489	    106221 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     511	    106457 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      56	   1055815 ns/op	 2097174 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      73	   1055912 ns/op	 2097171 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      73	   1044128 ns/op	 2097179 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      67	   1155888 ns/op	 2097184 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      62	   1148034 ns/op	 2097173 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	   1203947 ns/op	 2097171 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      64	   1130019 ns/op	 2097169 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      60	   1054344 ns/op	 2097172 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7749746 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   8106348 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7595720 ns/op	16777257 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7713856 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7752602 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7909406 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   8005258 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7966260 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushFront/3_elements-4        	  796918	        95.89 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  805573	        72.01 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  825288	        69.65 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  730411	        71.25 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  737972	        70.95 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  836493	        69.43 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  841423	        69.33 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  714387	        71.85 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/10_elements-4       	  312136	       192.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  306985	       186.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  304293	       190.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  302406	       189.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  311152	       187.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  309736	       189.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  318516	       187.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  313698	       194.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/100_elements-4      	   47198	      1121 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47541	      1118 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47907	      1126 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   46670	      1144 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   46723	      1151 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   45295	      1150 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47642	      1130 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   52530	      1128 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6388	      9272 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    5256	      9819 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6301	      9553 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6376	      9084 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6300	      9566 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6392	      9213 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6386	      9099 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6277	      9488 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/10_000_elements-4   	     476	    108528 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     507	    106970 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     496	    107414 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     519	    109384 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     495	    108426 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     500	    108837 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     495	    108828 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     506	    110170 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/100_000_elements-4  	      52	   1128219 ns/op	 2097168 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      75	   1118345 ns/op	 2097179 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      64	   1156375 ns/op	 2097167 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      39	   1341030 ns/op	 2097163 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      57	   1132467 ns/op	 2097156 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      52	   1138400 ns/op	 2097157 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      51	   1131347 ns/op	 2097157 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      57	   1142511 ns/op	 2097162 B/op	      18 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       6	   8507052 ns/op	16777232 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   8130652 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7946644 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7877151 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7912883 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7856842 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushFront/1_000_000_elements-4         	       7	   7980855 ns/op	16777229 B/op	      21 allocs/op
