PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  778384	        71.01 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  845268	        70.06 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  711049	        70.88 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  830671	        71.14 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  788084	        71.38 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  686656	        73.15 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  806846	        72.54 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  830221	        69.91 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  296178	       187.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318222	       188.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  316300	       189.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  317508	       193.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310075	       190.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  301136	       192.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314475	       187.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  286472	       187.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   51144	      1133 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   44443	      1154 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47755	      1158 ns/op	    2040 B/op	       8 allocs/op
