PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkPushBack/3_elements-4         	  794574	        72.13 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  814142	        71.64 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  757848	        70.52 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  808957	        70.57 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  801652	        71.88 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  805380	        70.34 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  663010	        82.36 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  771792	        70.64 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  289568	       181.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  334393	       172.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  327963	       178.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  341402	       174.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  326506	       179.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318687	       177.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  343219	       191.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  327103	       175.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   52890	      1146 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49539	      1219 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50413	      1091 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   53634	      1055 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50664	      1108 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46236	      1113 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48841	      1117 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46476	      1085 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5108	      9995 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5910	      9622 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6097	      9587 ns/op	   16376 B/op	      11 allocs/op
