PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkPushBack/3_elements-4         	  717547	        71.51 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  817488	        71.52 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  693172	        74.21 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  840679	        71.77 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  827916	        70.56 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  820070	        72.64 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  760976	        72.45 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  723351	        72.44 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  337180	       179.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314884	       175.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  312691	       176.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  340809	       174.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  340837	       179.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  323094	       175.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  325963	       190.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  323587	       179.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   48716	      1104 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45696	      1106 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45663	      1173 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47372	      1126 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   52377	      1115 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   57416	      1102 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45372	      1161 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47510	      1145 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5691	     10107 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5616	     10246 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6224	      9646 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6241	      9742 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5620	     10156 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6042	      9907 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6141	      9227 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6266	      9880 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     440	    118143 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     450	    120091 ns/op	  262137 B/op	      15 allocs/op
