PASS
ok  	github.com/pickeringtech/go-collections/collections	0.011s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkPushBack/3_elements-4         	  817453	        71.06 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  793508	        71.42 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  692118	        77.32 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  806319	        71.72 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  682359	        75.86 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  696454	        81.07 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  664336	        92.37 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  666441	        91.30 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  313807	       195.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314247	       178.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  304624	       188.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  325477	       186.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  293962	       186.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  299058	       177.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  340562	       178.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  333531	       175.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   45973	      1171 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49332	      1089 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46474	      1109 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   54186	      1079 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49248	      1088 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   44222	      1148 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46286	      1104 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   44516	      1146 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5205	      9651 ns/op	   16376 B/op	      11 allocs/op
