PASS
ok  	github.com/pickeringtech/go-collections/collections	0.003s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkPushBack/3_elements-4         	 1071846	        55.16 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	 1033718	        54.96 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  907102	        56.63 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	 1044031	        55.87 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  956917	        56.01 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	 1036774	        58.91 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  939024	        59.30 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  859510	        59.24 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  405673	       140.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  430072	       138.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  432254	       136.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  410265	       155.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  428520	       138.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  431572	       140.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  432722	       139.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  438396	       143.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   60056	       876.2 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   59224	       868.1 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   71434	       848.6 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   62349	       861.6 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   60440	       873.7 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   61432	       839.2 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   62294	       842.6 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   60483	       846.9 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7999	      7499 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    8245	      7498 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    8025	      7456 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7864	      7475 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7760	      7461 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    8042	      7334 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    8136	      7393 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    8185	      7370 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     579	     89620 ns/op	  262136 B/op	      15 allocs/op
