PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkPushBack/3_elements-4         	  840998	        60.34 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	 1054534	        56.68 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	 1064724	        58.80 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	 1039647	        55.07 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  993560	        57.29 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  998636	        55.97 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  934957	        58.42 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	 1031308	        55.64 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  429008	       135.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  411501	       136.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  409317	       139.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  416995	       149.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  385063	       138.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  422998	       139.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  425791	       144.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  399302	       145.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   60103	       834.3 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   63032	       884.1 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   71436	       835.6 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   59978	       853.7 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   62881	       841.6 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   62781	       842.6 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   71629	       822.1 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   61359	       828.0 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    8233	      7221 ns/op	   16376 B/op	      11 allocs/op
