PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  848566	        70.23 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  844144	        70.74 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  827814	        71.77 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  811393	        71.64 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  844299	        71.61 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  821658	        70.57 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  814574	        69.70 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  686366	        80.57 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  333116	       189.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  319030	       186.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  319920	       188.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  321988	       190.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310674	       188.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  306153	       197.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318728	       185.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  309262	       189.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   48524	      1134 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47902	      1106 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47298	      1104 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47840	      1108 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48301	      1211 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49148	      1115 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45992	      1146 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47979	      1124 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6326	      9116 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6349	      8975 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7682	      8949 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6549	      9211 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5281	      9499 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6601	      8858 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5630	      8934 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6595	      9037 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     500	    104927 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     507	    107641 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     493	    109296 ns/op	  262137 B/op	      15 allocs/op
