PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  731881	        69.80 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  695526	        83.64 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  768337	        72.70 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  807302	        70.44 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  727462	        72.68 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  822745	        70.20 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  706081	        72.66 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  692006	        73.10 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  287276	       188.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318122	       192.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  308748	       189.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  317431	       188.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310651	       187.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314842	       194.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  315133	       189.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318880	       186.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   47522	      1114 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46058	      1173 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45583	      1305 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45703	      1165 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46794	      1133 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46776	      1124 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48927	      1157 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47964	      1148 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5308	      9452 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5391	      9628 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6531	      9317 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6369	      9444 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6216	      9647 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5599	      9405 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6649	      9292 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6483	      8963 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     472	    109352 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     499	    105597 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     506	    106346 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     501	    110093 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     495	    109706 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     492	    109282 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     477	    107742 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     505	    109117 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      52	   1090854 ns/op	 2097175 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      50	   1083172 ns/op	 2097180 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      62	   1098608 ns/op	 2097168 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      72	   1100230 ns/op	 2097173 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      68	   1107320 ns/op	 2097170 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      63	   1132941 ns/op	 2097166 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      72	   1168753 ns/op	 2097175 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      69	   1143263 ns/op	 2097167 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7677971 ns/op	16777243 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7762587 ns/op	16777243 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7966883 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7800544 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7687839 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7684210 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7719264 ns/op	16777216 B/op	      21 allocs/op
