PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkPushBack/3_elements-4         	  723164	        71.55 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  725670	        71.44 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  818551	        72.55 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  713433	        73.55 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  703935	        72.72 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  715094	        72.31 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  766226	        73.80 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  813904	        73.75 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  328788	       177.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  328783	       174.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  326132	       176.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  336757	       170.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  334617	       176.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  343245	       189.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  328461	       179.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310125	       172.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   46147	      1112 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   56271	      1082 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   55911	      1098 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47548	      1115 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48208	      1099 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49606	      1139 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49167	      1230 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48730	      1064 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6386	      9641 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6319	      9441 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6292	      9214 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7879	      9351 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6426	      9152 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6254	      9244 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6541	      9247 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6381	      9200 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     464	    110025 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     487	    112721 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     562	    106356 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     483	    108026 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     451	    113924 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     486	    108196 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     463	    110181 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     481	    114387 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      58	   1179221 ns/op	 2097163 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      48	   1212026 ns/op	 2097158 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      62	   1166255 ns/op	 2097164 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      46	   1100917 ns/op	 2097164 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      63	   1147369 ns/op	 2097160 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      76	   1116151 ns/op	 2097175 B/op	      18 allocs/op
