PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  756532	        71.78 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  775027	        73.65 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  805635	        71.35 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  720308	        73.67 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  753865	        73.61 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  720230	        72.99 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  751992	        73.66 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  744421	        73.85 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  316846	       194.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318289	       193.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  308084	       186.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  308517	       188.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  320456	       188.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  311475	       185.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  316182	       190.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310363	       192.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   46473	      1109 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47301	      1131 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   44925	      1202 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50312	      1125 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46185	      1159 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45228	      1148 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46872	      1123 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46024	      1179 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6157	      9090 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7719	      9360 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6404	      9029 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6591	      9196 ns/op	   16376 B/op	      11 allocs/op
