PASS
ok  	github.com/pickeringtech/go-collections/collections	0.010s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  418614	       244.0 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  366213	       175.5 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  547322	        98.22 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  730106	        87.76 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  687644	        80.67 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  615242	        83.28 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  775138	        81.39 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  753637	        77.00 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  261204	       228.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  280450	       203.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  293674	       233.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  242476	       268.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  327760	       240.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  295957	       205.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  235863	       216.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  298215	       208.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   45619	      1173 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48170	      1415 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   43966	      1395 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   43688	      1319 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46488	      1341 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   42402	      1510 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   41232	      1266 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47899	      1232 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5016	     10110 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6015	     10734 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6126	     11274 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5440	     10623 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    4328	     12763 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    4083	     12593 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5360	     10852 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5068	     11230 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     392	    135379 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     400	    128717 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     500	    117989 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     492	    123887 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     472	    119888 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     459	    140383 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     487	    116297 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     465	    140274 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      44	   1230054 ns/op	 2097169 B/op	      18 allocs/op
