PASS
ok  	github.com/pickeringtech/go-collections/collections	0.015s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  456156	       220.1 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  797018	        71.25 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  815082	        71.12 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  838906	        71.52 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  843447	        70.96 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  851491	        71.39 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  809242	        70.51 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  772158	        73.18 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  274714	       186.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  322561	       187.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  316611	       194.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318540	       186.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314066	       190.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  304359	       186.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310610	       190.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  303828	       198.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   48220	      1094 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47511	      1117 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49114	      1120 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48104	      1108 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47178	      1169 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49681	      1112 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48224	      1151 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   44498	      1131 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6342	      9217 ns/op	   16376 B/op	      11 allocs/op
