PASS
ok  	github.com/pickeringtech/go-collections/collections	0.007s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkPushBack/3_elements-4         	  635145	       160.2 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  449862	       225.0 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  524720	       137.9 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  705390	        73.76 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  811245	        72.45 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  814486	        72.53 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  800473	        70.77 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  785389	        73.31 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  326152	       177.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  334420	       174.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  339688	       185.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  331903	       179.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  333697	       199.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  240582	       217.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  263383	       217.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318942	       178.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   45984	      1178 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   44311	      1182 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48600	      1192 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47978	      1159 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47340	      1214 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   52598	      1117 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46695	      1114 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48138	      1197 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6220	      9477 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    4965	     10116 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5845	     10192 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5904	      9902 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6007	      9524 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5965	      9785 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5796	     10042 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5995	      9998 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     459	    150345 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     488	    115966 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     486	    121803 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     501	    120070 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     456	    116248 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     452	    121191 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     440	    133482 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     396	    145375 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      51	   1335574 ns/op	 2097159 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      57	   1240262 ns/op	 2097158 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      50	   1214041 ns/op	 2097168 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      52	   1147833 ns/op	 2097157 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      58	   1188359 ns/op	 2097163 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      68	   1210772 ns/op	 2097178 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      60	   1192458 ns/op	 2097172 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      68	   1153513 ns/op	 2097170 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11774028 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11266222 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11596696 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11097322 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11772221 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11383468 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11672713 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11669688 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/3_elements-4        	  761497	        70.79 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  709080	        74.36 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  819745	        77.27 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  675516	        76.18 ns/op	      56 B/op	       3 allocs/op
