PASS
ok  	github.com/pickeringtech/go-collections/collections	0.013s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkPushBack/3_elements-4         	  430329	       202.5 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  526567	       123.8 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  767658	        75.03 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  751161	        84.16 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  670971	        75.81 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  673702	        75.26 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  820068	        74.48 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  670678	        79.03 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  318658	       185.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  322366	       186.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  330807	       193.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  326266	       192.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  323341	       189.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  332019	       178.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  233799	       256.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  230571	       218.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   45231	      1329 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45124	      1194 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   54439	      1099 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49188	      1120 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49263	      1094 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   54739	      1068 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48674	      1111 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48975	      1084 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6136	      9973 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6325	      9612 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6351	      9261 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6388	      9118 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6490	      8966 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6164	      9271 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7424	      9041 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6331	      9067 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     490	    121332 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     540	    114888 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     472	    111692 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     458	    113547 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     451	    116462 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     549	    108833 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     525	    113043 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     451	    119325 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      51	   1196890 ns/op	 2097166 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      45	   1233104 ns/op	 2097166 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      57	   1217094 ns/op	 2097168 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      48	   1116801 ns/op	 2097157 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	   1330926 ns/op	 2097175 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      39	   1381980 ns/op	 2097161 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      55	   1269019 ns/op	 2097167 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      57	   1426323 ns/op	 2097168 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11482680 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11347756 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11226651 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11416146 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11266558 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11473822 ns/op	16777273 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11306597 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11548072 ns/op	16777254 B/op	      21 allocs/op
BenchmarkPushFront/3_elements-4        	  831547	        73.93 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  771804	        73.12 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  790771	        73.83 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  809736	        71.38 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  790302	        72.54 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  723348	        71.40 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  812527	        72.70 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  803736	        72.64 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/10_elements-4       	  321498	       183.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  311986	       188.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  316798	       183.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  326377	       184.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  332452	       178.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  333002	       177.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  323936	       177.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  334323	       179.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/100_elements-4      	   48567	      1131 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47542	      1082 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47985	      1109 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   48331	      1128 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   44960	      1174 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47541	      1094 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   53415	      1094 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   55141	      1125 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6276	      9148 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6499	      9116 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6297	      8864 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6470	      9058 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6398	      9219 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6537	      9389 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6523	      9088 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6367	      9030 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/10_000_elements-4   	     493	    111656 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     489	    105672 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     475	    110376 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     476	    111052 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     487	    111175 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     488	    108365 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     470	    106525 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     489	    113381 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/100_000_elements-4  	      51	   1019502 ns/op	 2097160 B/op	      18 allocs/op
BenchmarkPushFront/100_000_elements-4  	      55	   1057039 ns/op	 2097169 B/op	      18 allocs/op
