PASS
ok  	github.com/pickeringtech/go-collections/collections	0.003s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz
BenchmarkPushBack/3_elements-4         	  419696	       196.2 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  375254	       189.3 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  657096	        76.75 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  703802	        74.75 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  801482	        72.54 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  801074	        73.12 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  720272	        75.71 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  800354	        73.51 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  321644	       183.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  323818	       183.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318657	       183.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  326720	       182.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  324584	       183.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  325210	       183.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318771	       184.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  322904	       185.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   49705	      1103 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   51232	      1093 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   51195	      1073 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49764	      1082 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50544	      1065 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49178	      1088 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   51368	      1070 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45048	      1114 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6847	      8468 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    8152	      8430 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7014	      8464 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6877	      9035 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    8094	      8615 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6872	      8363 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7928	      8562 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    8084	      8693 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     514	    104271 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     526	    106153 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     490	    103380 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     519	    104155 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     513	    103291 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     574	    103662 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     512	    103552 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     510	    104025 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      57	    950382 ns/op	 2097175 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	    936410 ns/op	 2097167 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	    947486 ns/op	 2097164 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	    976274 ns/op	 2097162 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	    956572 ns/op	 2097168 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	    963265 ns/op	 2097164 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	   1011971 ns/op	 2097168 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      57	   1009413 ns/op	 2097166 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       8	   6926423 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       8	   6996872 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       8	   7001823 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7276048 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7175895 ns/op	16777216 B/op	      21 allocs/op
