PASS
ok  	github.com/pickeringtech/go-collections/collections	0.006s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  442578	       229.0 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  490694	       191.1 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  881714	        76.46 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  798708	        72.82 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  785652	        71.88 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  787273	        76.47 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  801054	        74.37 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  798079	        75.30 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  308556	       191.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  303405	       192.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  302130	       189.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  303442	       189.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318580	       189.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  316045	       190.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  312490	       196.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  312822	       198.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   48921	      1150 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46035	      1210 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   43857	      1213 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45802	      1139 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45274	      1111 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45939	      1174 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46270	      1185 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45172	      1132 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6438	      9198 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6464	      9306 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6254	      9639 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6451	      9125 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6358	      9071 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6518	      9237 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5437	      9367 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6195	      9123 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     505	    107240 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     487	    103431 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     487	    106804 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     518	    104545 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     496	    105153 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     562	    104418 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     487	    106270 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     487	    107014 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      51	   1204529 ns/op	 2097158 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      72	   1102100 ns/op	 2097152 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	   1125057 ns/op	 2097159 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      48	   1172538 ns/op	 2097156 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      76	   1376823 ns/op	 2097163 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      50	   1160401 ns/op	 2097159 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      51	   1094897 ns/op	 2097173 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      55	   1126366 ns/op	 2097163 B/op	      18 allocs/op
