PASS
ok  	github.com/pickeringtech/go-collections/collections	0.012s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  594194	       198.5 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  726464	        70.00 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  823929	        70.64 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  803286	        76.52 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  798169	        73.37 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  814830	        70.78 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  770722	        74.41 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  753410	        71.31 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  272012	       184.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  313624	       187.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  322110	       192.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  316386	       186.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  317742	       182.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  319647	       187.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310468	       188.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  323701	       184.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   48393	      1094 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50478	      1105 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48123	      1095 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46332	      1131 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48132	      1096 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48334	      1132 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48105	      1128 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47224	      1151 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6392	      9245 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6657	      9353 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6210	      9599 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6429	      9113 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6561	      9325 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6084	      9491 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6558	      8752 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7892	      9109 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     506	    105174 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     529	    102188 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     584	    104106 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     525	    107017 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     512	    103892 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     512	    103991 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     516	    106327 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     507	    109223 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      61	   1063195 ns/op	 2097161 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      61	   1051426 ns/op	 2097179 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      78	   1053017 ns/op	 2097172 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	   1026702 ns/op	 2097168 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      70	   1038090 ns/op	 2097176 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	   1071037 ns/op	 2097172 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	   1040234 ns/op	 2097176 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	   1051980 ns/op	 2097169 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7533625 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7543769 ns/op	16777243 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7548847 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7771962 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7663133 ns/op	16777243 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7624267 ns/op	16777229 B/op	      21 allocs/op
