PASS
ok  	github.com/pickeringtech/go-collections/collections	0.006s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  343174	       186.9 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  359156	       180.5 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  864445	        71.11 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  881283	        75.30 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  758694	        74.14 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  823999	        70.37 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  823622	        72.03 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  812929	        69.12 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  315643	       185.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314905	       191.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314602	       187.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318228	       187.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  320276	       188.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  311938	       184.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  312151	       186.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  317076	       187.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   49024	      1126 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50481	      1119 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49705	      1095 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48717	      1088 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45807	      1131 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48741	      1101 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46408	      1135 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47512	      1128 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6499	      8957 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5491	      9311 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5439	      9266 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6475	      8942 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7716	      9243 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6492	      9081 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6465	      8984 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6582	      9045 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     510	    105465 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     472	    122504 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     550	    105112 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     546	    106043 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     489	    107611 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     498	    108186 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     492	    107493 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     499	    103260 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      72	   1043673 ns/op	 2097159 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      72	   1125818 ns/op	 2097153 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	   1101111 ns/op	 2097165 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      69	   1033586 ns/op	 2097158 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      63	   1058275 ns/op	 2097164 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      74	   1119122 ns/op	 2097176 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      54	   1094412 ns/op	 2097165 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      62	   1190607 ns/op	 2097160 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       6	   8405988 ns/op	16777210 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       6	   8412751 ns/op	16777226 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   8437365 ns/op	16777211 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       6	   8656576 ns/op	16777226 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7816468 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   8079730 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   8025659 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       7	   7915405 ns/op	16777229 B/op	      21 allocs/op
BenchmarkPushFront/3_elements-4        	  818312	        68.65 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  824677	        69.99 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  832072	        71.54 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  729349	        72.14 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  829870	        69.65 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  842349	        70.26 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  829906	        70.60 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  836858	        69.95 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/10_elements-4       	  315166	       191.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  315990	       194.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  313672	       186.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  315726	       186.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  320149	       183.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  326798	       188.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  323362	       191.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  319158	       184.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/100_elements-4      	   48140	      1100 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   48030	      1121 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47262	      1140 ns/op	    2040 B/op	       8 allocs/op
