PASS
ok  	github.com/pickeringtech/go-collections/collections	0.006s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkPushBack/3_elements-4         	  661304	        80.18 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  806090	        70.33 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  811164	        71.30 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  714936	        75.06 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  711286	        74.49 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  815395	        70.09 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  793291	        73.72 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  814677	        70.68 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  327766	       185.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  340147	       185.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  325976	       177.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  335848	       175.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  324579	       175.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  328033	       198.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  339384	       176.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  340944	       173.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   46683	      1110 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47143	      1117 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47893	      1098 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49525	      1117 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48763	      1369 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   42643	      1337 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   51559	      1115 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46812	      1100 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6660	      9647 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5154	      9810 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6021	      9436 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5058	     10022 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5251	     10156 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6378	      9484 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5916	      9613 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5306	      9899 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     464	    117668 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     447	    118068 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     432	    122956 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     454	    118173 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     458	    119838 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     450	    117214 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     462	    118980 ns/op	  262136 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     445	    126450 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      48	   1169908 ns/op	 2097160 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      49	   1244728 ns/op	 2097155 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      44	   1215130 ns/op	 2097166 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      63	   1216067 ns/op	 2097166 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      58	   1224694 ns/op	 2097161 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      44	   1359987 ns/op	 2097154 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      70	   1474967 ns/op	 2097154 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      50	   1427833 ns/op	 2097164 B/op	      18 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11247372 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11131654 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11064583 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11247507 ns/op	16777235 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11041479 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  10853498 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11193175 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushBack/1_000_000_elements-4 	       5	  11243912 ns/op	16777216 B/op	      21 allocs/op
BenchmarkPushFront/3_elements-4        	  797498	        73.40 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  752293	        74.54 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  801543	        75.85 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  813086	        72.19 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  802638	        71.75 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  724108	        73.80 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  771400	        72.84 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/3_elements-4        	  794542	        75.88 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushFront/10_elements-4       	  324660	       184.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  320401	       189.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  324772	       184.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  320946	       181.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  314818	       183.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  321913	       187.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  321499	       183.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/10_elements-4       	  326508	       188.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushFront/100_elements-4      	   46400	      1147 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   46842	      1123 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   46617	      1165 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   46562	      1126 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   47685	      1131 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   46144	      1130 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   46780	      1161 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/100_elements-4      	   45469	      1158 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6249	      9377 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6284	      9600 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6448	      9263 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6306	      9461 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    7599	      9612 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    6346	      9477 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    5569	      9619 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/1_000_elements-4    	    7338	      9389 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushFront/10_000_elements-4   	     470	    114156 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     469	    111745 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     534	    113295 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     538	    114361 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     454	    118327 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     472	    111949 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushFront/10_000_elements-4   	     476	    112183 ns/op	  262137 B/op	      15 allocs/op
