PASS
ok  	github.com/pickeringtech/go-collections/collections	0.006s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  793714	        70.80 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  814076	        69.74 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  739086	        71.92 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  818986	        70.98 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  770601	        72.31 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  809479	        70.28 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  784778	        75.66 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  811327	        80.64 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  290886	       197.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310822	       189.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  304802	       189.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  317173	       190.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310831	       187.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  318447	       189.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  322273	       188.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  323518	       185.1 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   54100	      1145 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   44944	      1117 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   45997	      1172 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   46213	      1125 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48621	      1129 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49712	      1130 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48972	      1091 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48044	      1113 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6264	      8937 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6288	      9075 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6396	      8924 ns/op	   16376 B/op	      11 allocs/op
