PASS
ok  	github.com/pickeringtech/go-collections/collections	0.007s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz
BenchmarkPushBack/3_elements-4         	  402033	       183.5 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  428479	       129.0 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  782887	        84.94 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  674047	        83.90 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  666670	        76.10 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  783242	        74.30 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  692419	        78.35 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  666651	        76.26 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  320550	       187.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  316425	       184.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  324094	       183.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  323476	       184.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  321676	       184.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  320756	       187.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  320881	       186.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  324776	       184.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   50362	      1077 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50414	      1086 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50413	      1108 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50504	      1113 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49573	      1082 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   49824	      1082 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50206	      1082 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50787	      1076 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6934	      8601 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7051	      9004 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6915	      8537 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7108	      8291 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6858	     10026 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6616	      9256 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7024	      8316 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6906	      8558 ns/op	   16376 B/op	      11 allocs/op
