PASS
ok  	github.com/pickeringtech/go-collections/collections	0.002s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkPushBack/3_elements-4         	 1055799	        57.90 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	 1004714	        56.75 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  867225	        63.11 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	 1000000	        57.91 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	 1000000	        58.73 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  838132	        60.00 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  920696	        58.84 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	 1004179	        57.84 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  399720	       150.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  400844	       154.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  408122	       150.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  361802	       152.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  382383	       148.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  401575	       154.5 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  374082	       151.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  309231	       163.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   63988	       977.9 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   53740	       965.4 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   53794	       963.7 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   58112	       934.0 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   50128	      1001 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   63796	       934.6 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   58171	       937.1 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   58512	       932.3 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7461	      7950 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7665	      7884 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7554	      8108 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7263	      8278 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7460	      8060 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7495	      7995 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6938	      8095 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    7471	      8356 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     502	    103762 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     512	    104437 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     549	    101655 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     510	    104352 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     510	    105008 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     541	     98332 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     547	    102409 ns/op	  262139 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     532	    102280 ns/op	  262139 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      54	    944826 ns/op	 2097162 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	   1034795 ns/op	 2097169 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	   1015330 ns/op	 2097168 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      70	   1048859 ns/op	 2097168 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      58	   1030990 ns/op	 2097171 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      84	   1050816 ns/op	 2097165 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      58	   1059241 ns/op	 2097171 B/op	      18 allocs/op
