PASS
ok  	github.com/pickeringtech/go-collections/collections	0.003s
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPushBack/3_elements-4         	  715734	        72.83 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  813264	        71.92 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  698986	        73.68 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  797839	        72.50 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  810079	        72.06 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  764108	        74.30 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  715102	        73.75 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/3_elements-4         	  814299	        69.93 ns/op	      56 B/op	       3 allocs/op
BenchmarkPushBack/10_elements-4        	  316386	       189.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310836	       194.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  314016	       195.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  313581	       193.6 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  311900	       192.0 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  309194	       190.8 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310185	       188.7 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/10_elements-4        	  310015	       192.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkPushBack/100_elements-4       	   46576	      1127 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   44191	      1164 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   48360	      1145 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   53072	      1151 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47684	      1175 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   43959	      1147 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   53970	      1125 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/100_elements-4       	   47160	      1160 ns/op	    2040 B/op	       8 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6338	      9158 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6398	      9486 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6212	      9247 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6322	     10167 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5704	     10717 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5836	      9663 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    6210	      9342 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/1_000_elements-4     	    5484	      9943 ns/op	   16376 B/op	      11 allocs/op
BenchmarkPushBack/10_000_elements-4    	     468	    107002 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     500	    108456 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     495	    108591 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     510	    108396 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     487	    104966 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     518	    107520 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     565	    104276 ns/op	  262138 B/op	      15 allocs/op
BenchmarkPushBack/10_000_elements-4    	     516	    106041 ns/op	  262137 B/op	      15 allocs/op
BenchmarkPushBack/100_000_elements-4   	      55	   1045690 ns/op	 2097176 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	   1073396 ns/op	 2097177 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	   1073175 ns/op	 2097173 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      50	   1081379 ns/op	 2097176 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      75	   1095181 ns/op	 2097163 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      70	   1267550 ns/op	 2097165 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      46	   1186077 ns/op	 2097154 B/op	      18 allocs/op
BenchmarkPushBack/100_000_elements-4   	      70	   1118093 ns/op	 2097159 B/op	      18 allocs/op
